Algo | QType | QID | Count | Hash | Time_ms | Mem_Tree_MB | Mem_Delta_MB | Nodes
PACZ | Range_Small | 0 | 263 | 2514953999175 | 0.0162919 | 124.68 | 0 | 201
PACZ | Range_Small | 1 | 407 | 3835710814575 | 0.00866254 | 124.68 | 0 | 189
PACZ | Range_Small | 2 | 804 | 11206803704616 | 0.0259876 | 124.68 | 0 | 237
PACZ | Range_Small | 3 | 411 | 5036605752984 | 0.0173251 | 124.68 | 0 | 259
PACZ | Range_Small | 4 | 342 | 4692986500290 | 0.00898043 | 124.68 | 0 | 189
PACZ | Range_Small | 5 | 618 | 7915366942596 | 0.0162919 | 124.68 | 0 | 237
PACZ | Range_Small | 6 | 901 | 11110792677405 | 0.0227292 | 124.68 | 0 | 291
PACZ | Range_Small | 7 | 37 | 577767132633 | 0.00500679 | 124.68 | 0 | 165
PACZ | Range_Small | 8 | 54 | 705229643253 | 0.0046889 | 124.68 | 0 | 175
PACZ | Range_Small | 9 | 6283 | 77760688400430 | 0.0872612 | 124.68 | 0 | 923
PACZ | Range_Small | 10 | 961 | 13311371330691 | 0.0170072 | 124.68 | 0 | 339
PACZ | Range_Small | 11 | 372 | 4419506078637 | 0.00667572 | 124.68 | 0 | 205
PACZ | Range_Small | 12 | 239 | 2293621667259 | 0.00699361 | 124.68 | 0 | 189
PACZ | Range_Small | 13 | 449 | 6945267676287 | 0.0143846 | 124.68 | 0 | 237
PACZ | Range_Small | 14 | 1596 | 20178891945747 | 0.025034 | 124.68 | 0 | 373
PACZ | Range_Small | 15 | 384 | 4579280305623 | 0.0073115 | 124.68 | 0 | 203
PACZ | Range_Small | 16 | 1398 | 19299323661114 | 0.0216166 | 124.68 | 0 | 381
PACZ | Range_Small | 17 | 381 | 4074761273859 | 0.0123183 | 124.68 | 0 | 235
PACZ | Range_Small | 18 | 8615 | 106694368463964 | 0.112693 | 124.68 | 0 | 1161
PACZ | Range_Small | 19 | 56 | 470930191548 | 0.00699361 | 124.68 | 0 | 219
PACZ | Range_Small | 20 | 376 | 5169081816465 | 0.00762939 | 124.68 | 0 | 199
PACZ | Range_Small | 21 | 564 | 7737562728252 | 0.0106494 | 124.68 | 0 | 233
PACZ | Range_Small | 22 | 1143 | 13862919547197 | 0.0309944 | 124.68 | 0 | 375
PACZ | Range_Small | 23 | 788 | 9718908453630 | 0.0126362 | 124.68 | 0 | 239
PACZ | Range_Small | 24 | 1167 | 16132612087824 | 0.0213782 | 124.68 | 0 | 305
PACZ | Range_Small | 25 | 53 | 165876802017 | 0.00635783 | 124.68 | 0 | 199
PACZ | Range_Small | 26 | 73 | 754282847172 | 0.00532468 | 124.68 | 0 | 153
PACZ | Range_Small | 27 | 3747 | 43603641959559 | 0.0533263 | 124.68 | 0 | 587
PACZ | Range_Small | 28 | 3764 | 47213418184977 | 0.0456969 | 124.68 | 0 | 675
PACZ | Range_Small | 29 | 1777 | 22212035592834 | 0.0399748 | 124.68 | 0 | 483
PACZ | Range_Small | 30 | 1423 | 18188703726396 | 0.017643 | 124.68 | 0 | 327
PACZ | Range_Small | 31 | 139 | 1245608267688 | 0.00667572 | 124.68 | 0 | 181
PACZ | Range_Small | 32 | 663 | 8417379025623 | 0.0149409 | 124.68 | 0 | 299
PACZ | Range_Small | 33 | 14899 | 175850390878044 | 0.186682 | 124.68 | 0 | 1809
PACZ | Range_Small | 34 | 1509 | 15587203561524 | 0.0247161 | 124.68 | 0 | 333
PACZ | Range_Small | 35 | 1080 | 15266135143710 | 0.0209808 | 124.68 | 0 | 375
PACZ | Range_Small | 36 | 159 | 2210249070990 | 0.00794729 | 124.68 | 0 | 203
PACZ | Range_Small | 37 | 839 | 10068047126379 | 0.0136693 | 124.68 | 0 | 279
PACZ | Range_Small | 38 | 3862 | 48645201421755 | 0.0583331 | 124.68 | 0 | 699
PACZ | Range_Small | 39 | 5929 | 78090626687385 | 0.0859896 | 124.68 | 0 | 789
PACZ | Range_Small | 40 | 694 | 8725085724288 | 0.0126362 | 124.68 | 0 | 277
PACZ | Range_Small | 41 | 1 | 14892508284 | 0.00166893 | 124.68 | 0 | 55
PACZ | Range_Small | 42 | 989 | 11946884717148 | 0.0149409 | 124.68 | 0 | 361
PACZ | Range_Small | 43 | 297 | 4080598520700 | 0.0136693 | 124.68 | 0 | 213
PACZ | Range_Small | 44 | 109 | 1355477637198 | 0.0073115 | 124.68 | 0 | 203
PACZ | Range_Small | 45 | 1732 | 18096005197218 | 0.0286102 | 124.68 | 0 | 403
PACZ | Range_Small | 46 | 396 | 5135947070379 | 0.0103315 | 124.68 | 0 | 239
PACZ | Range_Small | 47 | 4100 | 49973095538658 | 0.0653267 | 124.68 | 0 | 693
PACZ | Range_Small | 48 | 187 | 1858672233468 | 0.0163714 | 124.68 | 0 | 225
PACZ | Range_Small | 49 | 628 | 6946952247198 | 0.018994 | 124.68 | 0 | 321
PACZ | Range_Small | 50 | 35 | 431358075252 | 0.00603994 | 124.68 | 0 | 193
PACZ | Range_Small | 51 | 14026 | 163773827174376 | 0.164668 | 124.68 | 0 | 1773
PACZ | Range_Small | 52 | 554 | 8763018941430 | 0.011603 | 124.68 | 0 | 275
PACZ | Range_Small | 53 | 507 | 5969673924786 | 0.0116825 | 124.68 | 0 | 283
PACZ | Range_Small | 54 | 740 | 9154256755713 | 0.0179609 | 124.68 | 0 | 301
PACZ | Range_Small | 55 | 545 | 6363066253050 | 0.0212987 | 124.68 | 0 | 275
PACZ | Range_Small | 56 | 524 | 6546946604340 | 0.0100136 | 124.68 | 0 | 261
PACZ | Range_Small | 57 | 859 | 8071423330344 | 0.0129541 | 124.68 | 0 | 271
PACZ | Range_Small | 58 | 9128 | 111751008952380 | 0.111341 | 124.68 | 0 | 1253
PACZ | Range_Small | 59 | 2103 | 21560494195890 | 0.0259876 | 124.68 | 0 | 419
PACZ | Range_Small | 60 | 159 | 1531511167899 | 0.00500679 | 124.68 | 0 | 149
PACZ | Range_Small | 61 | 62 | 773785191954 | 0.00540415 | 124.68 | 0 | 187
PACZ | Range_Small | 62 | 1384 | 12111460441683 | 0.0226498 | 124.68 | 0 | 365
PACZ | Range_Small | 63 | 1155 | 13867212202569 | 0.0166098 | 124.68 | 0 | 321
PACZ | Range_Small | 64 | 184 | 2626496764800 | 0.00596046 | 124.68 | 0 | 151
