Algo | QType | QID | Count | Hash | Time_ms | Mem_Tree_MB | Mem_Delta_MB | Nodes
PACZ | Range_Small | 0 | 1488 | 15494074943691 | 0.0256697 | 51.0485 | 0 | 397
PACZ | Range_Small | 1 | 371 | 5226261051294 | 0.00898043 | 51.0485 | 0 | 227
PACZ | Range_Small | 2 | 1368 | 18804296580864 | 0.0266234 | 51.0485 | 0 | 367
PACZ | Range_Small | 3 | 254 | 2748760471620 | 0.00699361 | 51.0485 | 0 | 215
PACZ | Range_Small | 4 | 99 | 625677468633 | 0.00429153 | 51.0485 | 0 | 163
PACZ | Range_Small | 5 | 2048 | 20647080501396 | 0.0380675 | 51.0485 | 0 | 485
PACZ | Range_Small | 6 | 5500 | 67678604325576 | 0.0606378 | 51.0485 | 0 | 793
PACZ | Range_Small | 7 | 1323 | 14088929372115 | 0.0249545 | 51.0485 | 0 | 303
PACZ | Range_Small | 8 | 1033 | 10882216391058 | 0.0249545 | 51.0485 | 0 | 339
PACZ | Range_Small | 9 | 2644 | 31470786076521 | 0.0319481 | 51.0485 | 0 | 431
PACZ | Range_Small | 10 | 23928 | 291309641689959 | 0.277281 | 51.0485 | 0 | 2345
PACZ | Range_Small | 11 | 1438 | 17113363565988 | 0.0213782 | 51.0485 | 0 | 391
PACZ | Range_Small | 12 | 262 | 2551201923297 | 0.00667572 | 51.0485 | 0 | 191
PACZ | Range_Small | 13 | 994 | 12123998900877 | 0.015974 | 51.0485 | 0 | 325
PACZ | Range_Small | 14 | 3426 | 46147913805765 | 0.0383854 | 51.0485 | 0 | 589
PACZ | Range_Small | 15 | 911 | 10868816987835 | 0.0143846 | 51.0485 | 0 | 281
PACZ | Range_Small | 16 | 2 | 17825171673 | 0.00429153 | 51.0485 | 0 | 189
PACZ | Range_Small | 17 | 391 | 5934987309486 | 0.0185966 | 51.0485 | 0 | 241
PACZ | Range_Small | 18 | 142 | 1619966144652 | 0.0109673 | 51.0485 | 0 | 173
PACZ | Range_Small | 19 | 379 | 4142899686300 | 0.0093778 | 51.0485 | 0 | 227
PACZ | Range_Small | 20 | 2866 | 35405944278351 | 0.0493526 | 51.0485 | 0 | 545
PACZ | Range_Small | 21 | 535 | 6542589673614 | 0.00969569 | 51.0485 | 0 | 243
PACZ | Range_Small | 22 | 334 | 4822415912268 | 0.0286897 | 51.0485 | 0 | 243
PACZ | Range_Small | 23 | 176 | 1019737195845 | 0.00699361 | 51.0485 | 0 | 179
PACZ | Range_Small | 24 | 1072 | 12871999859559 | 0.0179609 | 51.0485 | 0 | 309
PACZ | Range_Small | 25 | 1263 | 16823625736062 | 0.022014 | 51.0485 | 0 | 371
PACZ | Range_Small | 26 | 1129 | 13871276499096 | 0.0166893 | 51.0485 | 0 | 321
PACZ | Range_Small | 27 | 151 | 1836072680361 | 0.0103315 | 51.0485 | 0 | 185
PACZ | Range_Small | 28 | 707 | 7254581728347 | 0.0143051 | 51.0485 | 0 | 299
PACZ | Range_Small | 29 | 1025 | 14337036417111 | 0.0166098 | 51.0485 | 0 | 325
PACZ | Range_Small | 30 | 298 | 3654934431372 | 0.00866254 | 51.0485 | 0 | 239
PACZ | Range_Small | 31 | 335 | 4084703719599 | 0.00866254 | 51.0485 | 0 | 241
PACZ | Range_Small | 32 | 108 | 1356399528732 | 0.00500679 | 51.0485 | 0 | 163
PACZ | Range_Small | 33 | 94 | 974256926793 | 0.00532468 | 51.0485 | 0 | 193
PACZ | Range_Small | 34 | 425 | 5349881632455 | 0.00898043 | 51.0485 | 0 | 225
