Algo | CS_ID | Year | Adds | Rems | Time_ms | Mem_Tree_MB | Mem_Delta_MB | DeltaData_MB
MVQ | 55709239 | 2018 | 0 | 0 | 0 | 47.9887 | 0.0 | 0
MVQ | 55731478 | 2018 | 0 | 0 | 0.000953674 | 47.9887 | 0.0 | 0
MVQ | 55786882 | 2018 | 0 | 0 | 0.000953674 | 47.9888 | 0.0 | 0
MVQ | 55790854 | 2018 | 0 | 0 | 0 | 47.9888 | 0.0 | 0
MVQ | 55797304 | 2018 | 0 | 0 | 0 | 47.9889 | 0.0 | 0
MVQ | 55797391 | 2018 | 0 | 0 | 0 | 47.9889 | 0.0 | 0
MVQ | 55797471 | 2018 | 0 | 0 | 0.000953674 | 47.989 | 0.0 | 0
MVQ | 55800943 | 2018 | 0 | 0 | 0 | 47.989 | 0.0 | 0
MVQ | 55801141 | 2018 | 0 | 36 | 0.0109673 | 47.9918 | 0.0 | 0.00109863
MVQ | 55808568 | 2018 | 0 | 0 | 0 | 47.9918 | 0.0 | 0
MVQ | 55811632 | 2018 | 0 | 0 | 0.000953674 | 47.9919 | 0.0 | 0
MVQ | 55874182 | 2018 | 0 | 0 | 0 | 47.9919 | 0.0 | 0
MVQ | 55876190 | 2018 | 0 | 0 | 0 | 47.992 | 0.0 | 0
MVQ | 55881239 | 2018 | 0 | 0 | 0.000953674 | 47.992 | 0.0 | 0
MVQ | 55883989 | 2018 | 0 | 0 | 0 | 47.9921 | 0.0 | 0
MVQ | 55885028 | 2018 | 0 | 0 | 0.000953674 | 47.9921 | 0.0 | 0
MVQ | 55889111 | 2018 | 0 | 0 | 0 | 47.9921 | 0.0 | 0
MVQ | 55903510 | 2018 | 0 | 0 | 0.000953674 | 47.9922 | 0.0 | 0
MVQ | 55907788 | 2018 | 0 | 0 | 0 | 47.9922 | 0.0 | 0
MVQ | 55930746 | 2018 | 0 | 0 | 0.000953674 | 47.9923 | 0.0 | 0
MVQ | 55931498 | 2018 | 0 | 0 | 0.00119209 | 47.9923 | 0.0 | 0
MVQ | 55932819 | 2018 | 0 | 0 | 0.000953674 | 47.9924 | 0.0 | 0
MVQ | 55933098 | 2018 | 0 | 0 | 0.000953674 | 47.9924 | 0.0 | 0
MVQ | 55933868 | 2018 | 0 | 0 | 0 | 47.9925 | 0.0 | 0
MVQ | 55933921 | 2018 | 0 | 0 | 0 | 47.9925 | 0.0 | 0
MVQ | 55943872 | 2018 | 0 | 0 | 0.000953674 | 47.9926 | 0.0 | 0
MVQ | 55950435 | 2018 | 0 | 0 | 0 | 47.9926 | 0.0 | 0
MVQ | 55975415 | 2018 | 0 | 0 | 0 | 47.9926 | 0.0 | 0
MVQ | 55975454 | 2018 | 0 | 0 | 0.00119209 | 47.9927 | 0.0 | 0
MVQ | 55975471 | 2018 | 0 | 0 | 0 | 47.9927 | 0.0 | 0
MVQ | 55982989 | 2018 | 0 | 0 | 0.00119209 | 47.9928 | 0.0 | 0
MVQ | 55987240 | 2018 | 0 | 0 | 0 | 47.9928 | 0.0 | 0
MVQ | 55991535 | 2018 | 0 | 2 | 0.015974 | 47.9969 | 0.0 | 6.10352e-05
MVQ | 55991957 | 2018 | 0 | 7 | 0.0109673 | 48.0011 | 0.0 | 0.000213623
MVQ | 55992012 | 2018 | 0 | 0 | 0 | 48.0012 | 0.0 | 0
MVQ | 55996602 | 2018 | 0 | 0 | 0.000953674 | 48.0012 | 0.0 | 0
MVQ | 56005170 | 2018 | 0 | 56 | 0.025034 | 48.0075 | 0.0 | 0.00170898
MVQ | 56033638 | 2018 | 0 | 0 | 0 | 48.0076 | 0.0 | 0
MVQ | 56034165 | 2018 | 0 | 0 | 0.000953674 | 48.0076 | 0.0 | 0
MVQ | 56039368 | 2018 | 0 | 0 | 0 | 48.0077 | 0.0 | 0
MVQ | 56042288 | 2018 | 0 | 0 | 0 | 48.0077 | 0.0 | 0
MVQ | 56043738 | 2018 | 0 | 0 | 0.00119209 | 48.0078 | 0.0 | 0
MVQ | 56044969 | 2018 | 0 | 0 | 0 | 48.0078 | 0.0 | 0
MVQ | 56044992 | 2018 | 0 | 1 | 0.00786781 | 48.0097 | 0.0 | 3.05176e-05
MVQ | 56049536 | 2018 | 0 | 0 | 0 | 48.0098 | 0.0 | 0
MVQ | 56052006 | 2018 | 0 | 0 | 0.000953674 | 48.0098 | 0.0 | 0
MVQ | 56063031 | 2018 | 0 | 0 | 0.000953674 | 48.0099 | 0.0 | 0
MVQ | 56066704 | 2018 | 0 | 0 | 0 | 48.0099 | 0.0 | 0
MVQ | 56089278 | 2018 | 0 | 0 | 0.000953674 | 48.0099 | 0.0 | 0
MVQ | 56095752 | 2018 | 0 | 0 | 0.000953674 | 48.01 | 0.0 | 0
MVQ | 56096086 | 2018 | 0 | 0 | 0 | 48.01 | 0.0 | 0
MVQ | 56110117 | 2018 | 0 | 0 | 0 | 48.0101 | 0.0 | 0
MVQ | 56120618 | 2018 | 0 | 0 | 0.000953674 | 48.0101 | 0.0 | 0
MVQ | 56136488 | 2018 | 0 | 0 | 0 | 48.0102 | 0.0 | 0
MVQ | 56142325 | 2018 | 0 | 0 | 0 | 48.0102 | 0.0 | 0
MVQ | 56144537 | 2018 | 0 | 4 | 0.00977516 | 48.0132 | 0.0 | 0.00012207
MVQ | 56155327 | 2018 | 0 | 0 | 0 | 48.0132 | 0.0 | 0
MVQ | 56158636 | 2018 | 0 | 0 | 0 | 48.0132 | 0.0 | 0
MVQ | 56164834 | 2018 | 0 | 0 | 0 | 48.0133 | 0.0 | 0
MVQ | 56167500 | 2018 | 0 | 0 | 0.00119209 | 48.0133 | 0.0 | 0
MVQ | 56169105 | 2018 | 0 | 0 | 0.000953674 | 48.0134 | 0.0 | 0
MVQ | 56170348 | 2018 | 0 | 0 | 0 | 48.0134 | 0.0 | 0
MVQ | 56174163 | 2018 | 0 | 0 | 0.000953674 | 48.0135 | 0.0 | 0
MVQ | 56176045 | 2018 | 0 | 0 | 0 | 48.0135 | 0.0 | 0
MVQ | 56178959 | 2018 | 0 | 0 | 0 | 48.0136 | 0.0 | 0
MVQ | 56179505 | 2018 | 0 | 0 | 0.000953674 | 48.0136 | 0.0 | 0
MVQ | 56191643 | 2018 | 0 | 0 | 0 | 48.0137 | 0.0 | 0
MVQ | 56205922 | 2018 | 0 | 0 | 0 | 48.0137 | 0.0 | 0
MVQ | 56206097 | 2018 | 0 | 15 | 0.0228882 | 48.019 | 0.0 | 0.000457764
MVQ | 56207756 | 2018 | 0 | 2 | 0.00786781 | 48.0216 | 0.0 | 6.10352e-05
MVQ | 56207868 | 2018 | 0 | 0 | 0 | 48.0217 | 0.0 | 0
MVQ | 56208126 | 2018 | 0 | 1 | 0.013113 | 48.0243 | 0.0 | 3.05176e-05
MVQ | 56208737 | 2018 | 0 | 1 | 0.00882149 | 48.027 | 0.0 | 3.05176e-05
MVQ | 56209089 | 2018 | 0 | 0 | 0 | 48.0271 | 0.0 | 0
MVQ | 56210749 | 2018 | 0 | 5 | 0.0140667 | 48.0306 | 0.0 | 0.000152588
MVQ | 56235188 | 2018 | 0 | 0 | 0.000953674 | 48.0306 | 0.0 | 0
MVQ | 56235985 | 2018 | 0 | 0 | 0 | 48.0307 | 0.0 | 0
MVQ | 56235987 | 2018 | 0 | 0 | 0 | 48.0307 | 0.0 | 0
MVQ | 56237072 | 2018 | 0 | 1 | 0.0109673 | 48.0335 | 0.0 | 3.05176e-05
MVQ | 56249104 | 2018 | 0 | 0 | 0 | 48.0335 | 0.0 | 0
MVQ | 56250816 | 2018 | 0 | 0 | 0 | 48.0336 | 0.0 | 0
MVQ | 56258060 | 2018 | 0 | 0 | 0.00119209 | 48.0336 | 0.0 | 0
MVQ | 56258321 | 2018 | 0 | 0 | 0 | 48.0337 | 0.0 | 0
MVQ | 56258402 | 2018 | 0 | 0 | 0.00214577 | 48.0337 | 0.0 | 0
MVQ | 56258418 | 2018 | 0 | 0 | 0 | 48.0338 | 0.0 | 0
MVQ | 56258433 | 2018 | 0 | 0 | 0.000953674 | 48.0338 | 0.0 | 0
MVQ | 56258509 | 2018 | 0 | 0 | 0 | 48.0338 | 0.0 | 0
MVQ | 56258551 | 2018 | 0 | 0 | 0.000953674 | 48.0339 | 0.0 | 0
MVQ | 56260425 | 2018 | 0 | 0 | 0.00119209 | 48.0339 | 0.0 | 0
MVQ | 56288882 | 2018 | 0 | 0 | 0.000953674 | 48.034 | 0.0 | 0
MVQ | 56308609 | 2018 | 0 | 0 | 0 | 48.034 | 0.0 | 0
MVQ | 56313623 | 2018 | 0 | 0 | 0.000953674 | 48.0341 | 0.0 | 0
MVQ | 56313640 | 2018 | 0 | 0 | 0.000953674 | 48.0341 | 0.0 | 0
MVQ | 56314101 | 2018 | 0 | 0 | 0 | 48.0342 | 0.0 | 0
MVQ | 56315629 | 2018 | 0 | 22 | 0.0150204 | 48.0378 | 0.0 | 0.000671387
MVQ | 56341742 | 2018 | 0 | 0 | 0 | 48.0378 | 0.0 | 0
MVQ | 56342415 | 2018 | 0 | 0 | 0.00119209 | 48.0379 | 0.0 | 0
MVQ | 56342460 | 2018 | 0 | 0 | 0 | 48.0379 | 0.0 | 0
MVQ | 56342808 | 2018 | 0 | 0 | 0.000953674 | 48.038 | 0.0 | 0
MVQ | 56342839 | 2018 | 0 | 0 | 0 | 48.038 | 0.0 | 0
