Algo | QType | QID | Count | Hash | Time_ms | Mem_Tree_MB | Mem_Delta_MB | Nodes
PACZ | Range_Small | 0 | 624 | 8768695958073 | 0.0183582 | 75.9729 | 0 | 219
PACZ | Range_Small | 1 | 91 | 1157030991582 | 0.00500679 | 75.9729 | 0 | 135
PACZ | Range_Small | 2 | 3948 | 48921610117647 | 0.0533263 | 75.9729 | 0 | 681
PACZ | Range_Small | 3 | 129 | 1769983216038 | 0.00802676 | 75.9729 | 0 | 213
PACZ | Range_Small | 4 | 391 | 2622430576905 | 0.0143846 | 75.9729 | 0 | 301
PACZ | Range_Small | 5 | 240 | 2040415695030 | 0.00762939 | 75.9729 | 0 | 203
PACZ | Range_Small | 6 | 137 | 1857243235143 | 0.00564257 | 75.9729 | 0 | 149
PACZ | Range_Small | 7 | 1579 | 19516866406392 | 0.0247161 | 75.9729 | 0 | 427
PACZ | Range_Small | 8 | 60 | 777488824833 | 0.00500679 | 75.9729 | 0 | 161
PACZ | Range_Small | 9 | 724 | 4313877426123 | 0.0129541 | 75.9729 | 0 | 279
PACZ | Range_Small | 10 | 472 | 5799787556412 | 0.0109673 | 75.9729 | 0 | 271
PACZ | Range_Small | 11 | 15803 | 192877488569823 | 0.193993 | 75.9729 | 0 | 1903
PACZ | Range_Small | 12 | 14262 | 175518856089069 | 0.141303 | 75.9729 | 0 | 1763
PACZ | Range_Small | 13 | 1388 | 17140827691770 | 0.0256697 | 75.9729 | 0 | 379
PACZ | Range_Small | 14 | 2542 | 32947959738333 | 0.0299613 | 75.9729 | 0 | 443
PACZ | Range_Small | 15 | 218 | 3270594716535 | 0.0112851 | 75.9729 | 0 | 199
PACZ | Range_Small | 16 | 2358 | 23415800215497 | 0.0389417 | 75.9729 | 0 | 535
PACZ | Range_Small | 17 | 4253 | 51572039745288 | 0.0583331 | 75.9729 | 0 | 659
PACZ | Range_Small | 18 | 487 | 5167110415176 | 0.0156562 | 75.9729 | 0 | 253
PACZ | Range_Small | 19 | 17069 | 202078159639038 | 0.204007 | 75.9729 | 0 | 1899
PACZ | Range_Small | 20 | 589 | 4381163613915 | 0.0120004 | 75.9729 | 0 | 229
PACZ | Range_Small | 21 | 516 | 3927383691414 | 0.0169277 | 75.9729 | 0 | 255
PACZ | Range_Small | 22 | 650 | 6954665866005 | 0.0209808 | 75.9729 | 0 | 259
PACZ | Range_Small | 23 | 1234 | 13576449523749 | 0.0206629 | 75.9729 | 0 | 379
PACZ | Range_Small | 24 | 1 | 11096790096 | 0.00166893 | 75.9729 | 0 | 65
PACZ | Range_Small | 25 | 222 | 3182030664537 | 0.00834465 | 75.9729 | 0 | 223
PACZ | Range_Small | 26 | 221 | 2781174004386 | 0.0162919 | 75.9729 | 0 | 207
PACZ | Range_Small | 27 | 1616 | 19946190693414 | 0.0272592 | 75.9729 | 0 | 425
PACZ | Range_Small | 28 | 857 | 9741101972106 | 0.0196298 | 75.9729 | 0 | 281
PACZ | Range_Small | 29 | 4026 | 49752552248385 | 0.0533263 | 75.9729 | 0 | 693
PACZ | Range_Small | 30 | 851 | 7025761732542 | 0.0160535 | 75.9729 | 0 | 259
PACZ | Range_Small | 31 | 2738 | 24300406392270 | 0.0443459 | 75.9729 | 0 | 503
PACZ | Range_Small | 32 | 1 | 6190494876 | 0.00166893 | 75.9729 | 0 | 51
PACZ | Range_Small | 33 | 210 | 2763539396583 | 0.00627836 | 75.9729 | 0 | 191
PACZ | Range_Small | 34 | 1768 | 25130528259717 | 0.0299613 | 75.9729 | 0 | 425
PACZ | Range_Small | 35 | 199 | 2741338515846 | 0.00929832 | 75.9729 | 0 | 223
PACZ | Range_Small | 36 | 123 | 1731251595987 | 0.0120004 | 75.9729 | 0 | 191
PACZ | Range_Small | 37 | 1683 | 17353622732793 | 0.0360012 | 75.9729 | 0 | 429
PACZ | Range_Small | 38 | 1078 | 13258114221354 | 0.0326633 | 75.9729 | 0 | 353
PACZ | Range_Small | 39 | 1033 | 11508027380610 | 0.0193119 | 75.9729 | 0 | 301
PACZ | Range_Small | 40 | 665 | 8194823628621 | 0.0123183 | 75.9729 | 0 | 253
PACZ | Range_Small | 41 | 1133 | 11691143910255 | 0.0346502 | 75.9729 | 0 | 367
PACZ | Range_Small | 42 | 1255 | 13439774836050 | 0.0226498 | 75.9729 | 0 | 349
PACZ | Range_Small | 43 | 492 | 5725762313055 | 0.0127157 | 75.9729 | 0 | 295
PACZ | Range_Small | 44 | 541 | 6549063353508 | 0.0163714 | 75.9729 | 0 | 307
PACZ | Range_Small | 45 | 3667 | 45013055923929 | 0.0560284 | 75.9729 | 0 | 697
PACZ | Range_Small | 46 | 1269 | 13137698373159 | 0.0246366 | 75.9729 | 0 | 383
PACZ | Range_Small | 47 | 1475 | 17699646501483 | 0.0272592 | 75.9729 | 0 | 405
PACZ | Range_Small | 48 | 130 | 1419022439583 | 0.0153383 | 75.9729 | 0 | 203
PACZ | Range_Small | 49 | 3 | 26737764267 | 0.00929832 | 75.9729 | 0 | 161
PACZ | Range_Small | 50 | 5579 | 71961295053954 | 0.0606378 | 75.9729 | 0 | 761
PACZ | Range_Small | 51 | 787 | 6314250092034 | 0.017643 | 75.9729 | 0 | 293
PACZ | Range_Small | 52 | 4649 | 58225323570171 | 0.0540415 | 75.9729 | 0 | 729
PACZ | Range_Small | 53 | 475 | 5792360223135 | 0.0153383 | 75.9729 | 0 | 235
