Algo | QType | QID | Count | Hash | Time_ms | Mem_Tree_MB | Mem_Delta_MB | Nodes
PACZ | Range_Small | 0 | 421 | 3324164663484 | 0.0139872 | 131.986 | 0 | 265
PACZ | Range_Small | 1 | 750 | 10493774991144 | 0.0133514 | 131.986 | 0 | 287
PACZ | Range_Small | 2 | 665 | 7898144655273 | 0.0120004 | 131.986 | 0 | 259
PACZ | Range_Small | 3 | 254 | 3852676846581 | 0.00596046 | 131.986 | 0 | 161
PACZ | Range_Small | 4 | 2799 | 34785483439635 | 0.044028 | 131.986 | 0 | 447
PACZ | Range_Small | 5 | 263 | 3734219040009 | 0.00905991 | 131.986 | 0 | 201
PACZ | Range_Small | 6 | 2561 | 28176710432769 | 0.0476837 | 131.986 | 0 | 487
PACZ | Range_Small | 7 | 525 | 6627865442709 | 0.0106494 | 131.986 | 0 | 245
PACZ | Range_Small | 8 | 143 | 2079513271836 | 0.00667572 | 131.986 | 0 | 197
PACZ | Range_Small | 9 | 2574 | 33594302551278 | 0.0363191 | 131.986 | 0 | 461
PACZ | Range_Small | 10 | 2422 | 29888764550559 | 0.0313123 | 131.986 | 0 | 413
PACZ | Range_Small | 11 | 209 | 2920200317412 | 0.00866254 | 131.986 | 0 | 245
PACZ | Range_Small | 12 | 3240 | 40446079249686 | 0.0559489 | 131.986 | 0 | 603
PACZ | Range_Small | 13 | 1311 | 15778583025636 | 0.0212987 | 131.986 | 0 | 335
PACZ | Range_Small | 14 | 3391 | 42129264908079 | 0.0420411 | 131.986 | 0 | 589
PACZ | Range_Small | 15 | 1097 | 13085946341433 | 0.0150204 | 131.986 | 0 | 317
PACZ | Range_Small | 16 | 192 | 2500552102578 | 0.0113646 | 131.986 | 0 | 167
PACZ | Range_Small | 17 | 3342 | 41167763737014 | 0.0623067 | 131.986 | 0 | 683
PACZ | Range_Small | 18 | 2346 | 27894287572416 | 0.0253518 | 131.986 | 0 | 429
PACZ | Range_Small | 19 | 1427 | 16979297386626 | 0.0229677 | 131.986 | 0 | 325
PACZ | Range_Small | 20 | 205 | 895073933046 | 0.00993411 | 131.986 | 0 | 147
PACZ | Range_Small | 21 | 1308 | 16043696066196 | 0.0216166 | 131.986 | 0 | 403
PACZ | Range_Small | 22 | 309 | 4404439024155 | 0.0093778 | 131.986 | 0 | 193
