Algo | QType | QID | Count | Hash | Time_ms | Mem_Tree_MB | Mem_Delta_MB | Nodes
PACZ | Range_Small | 0 | 1473 | 15517889019555 | 0.0386238 | 87.9983 | 0 | 419
PACZ | Range_Small | 1 | 378 | 5019616998315 | 0.00866254 | 87.9983 | 0 | 225
PACZ | Range_Small | 2 | 797 | 11044959916929 | 0.0130335 | 87.9983 | 0 | 231
PACZ | Range_Small | 3 | 1055 | 16750902768306 | 0.0276566 | 87.9983 | 0 | 299
PACZ | Range_Small | 4 | 162 | 2285256174417 | 0.00627836 | 87.9983 | 0 | 161
PACZ | Range_Small | 5 | 2006 | 25742779895328 | 0.0436306 | 87.9983 | 0 | 379
PACZ | Range_Small | 6 | 983 | 11633846925858 | 0.0179609 | 87.9983 | 0 | 277
PACZ | Range_Small | 7 | 1717 | 17762758579824 | 0.0363191 | 87.9983 | 0 | 437
PACZ | Range_Small | 8 | 18 | 281075886459 | 0.00532468 | 87.9983 | 0 | 159
PACZ | Range_Small | 9 | 366 | 3590355161499 | 0.015974 | 87.9983 | 0 | 239
PACZ | Range_Small | 10 | 8 | 60546583266 | 0.00397364 | 87.9983 | 0 | 145
PACZ | Range_Small | 11 | 1258 | 14840787441525 | 0.0313123 | 87.9983 | 0 | 351
PACZ | Range_Small | 12 | 415 | 4761456224499 | 0.0153383 | 87.9983 | 0 | 229
PACZ | Range_Small | 13 | 1380 | 16578397623933 | 0.0256697 | 87.9983 | 0 | 377
PACZ | Range_Small | 14 | 103 | 1064845288071 | 0.0116825 | 87.9983 | 0 | 217
PACZ | Range_Small | 15 | 1321 | 18559064989332 | 0.025034 | 87.9983 | 0 | 423
PACZ | Range_Small | 16 | 351 | 4176655375221 | 0.0100136 | 87.9983 | 0 | 233
PACZ | Range_Small | 17 | 84 | 1008199787664 | 0.00540415 | 87.9983 | 0 | 167
PACZ | Range_Small | 18 | 997 | 10345511635182 | 0.0253518 | 87.9983 | 0 | 391
PACZ | Range_Small | 19 | 8 | 68436579636 | 0.00333786 | 87.9983 | 0 | 125
PACZ | Range_Small | 20 | 785 | 9626297691066 | 0.018994 | 87.9983 | 0 | 293
PACZ | Range_Small | 21 | 2078 | 22517846602785 | 0.037988 | 87.9983 | 0 | 457
PACZ | Range_Small | 22 | 749 | 6756798977820 | 0.0206629 | 87.9983 | 0 | 251
PACZ | Range_Small | 23 | 1401 | 15259143906705 | 0.0393391 | 87.9983 | 0 | 497
PACZ | Range_Small | 24 | 1396 | 17210754421734 | 0.0209808 | 87.9983 | 0 | 385
PACZ | Range_Small | 25 | 64 | 286004014896 | 0.00532468 | 87.9983 | 0 | 163
PACZ | Range_Small | 26 | 680 | 6993554722467 | 0.0232855 | 87.9983 | 0 | 301
PACZ | Range_Small | 27 | 358 | 4350041980770 | 0.0162919 | 87.9983 | 0 | 271
PACZ | Range_Small | 28 | 811 | 11341676396463 | 0.0323455 | 87.9983 | 0 | 279
PACZ | Range_Small | 29 | 1768 | 18272453974416 | 0.0383854 | 87.9983 | 0 | 441
PACZ | Range_Small | 30 | 700 | 8099951483772 | 0.0183582 | 87.9983 | 0 | 273
PACZ | Range_Small | 31 | 748 | 10308494865444 | 0.0143051 | 87.9983 | 0 | 263
PACZ | Range_Small | 32 | 2450 | 27950803448103 | 0.0503063 | 87.9983 | 0 | 495
PACZ | Range_Small | 33 | 2360 | 27222940219113 | 0.0293255 | 87.9983 | 0 | 445
PACZ | Range_Small | 34 | 2630 | 26228539697940 | 0.0413259 | 87.9983 | 0 | 491
PACZ | Range_Small | 35 | 623 | 6666248227659 | 0.0123183 | 87.9983 | 0 | 267
PACZ | Range_Small | 36 | 1237 | 14820265423170 | 0.025034 | 87.9983 | 0 | 373
PACZ | Range_Small | 37 | 501 | 3403612471140 | 0.0163714 | 87.9983 | 0 | 281
PACZ | Range_Small | 38 | 1101 | 13325252126748 | 0.0183582 | 87.9983 | 0 | 315
PACZ | Range_Small | 39 | 1201 | 12618108100620 | 0.0185966 | 87.9983 | 0 | 357
PACZ | Range_Small | 40 | 2468 | 31932681580587 | 0.0329812 | 87.9983 | 0 | 427
PACZ | Range_Small | 41 | 1634 | 18685976270625 | 0.026385 | 87.9983 | 0 | 389
PACZ | Range_Small | 42 | 1609 | 19862088447732 | 0.025034 | 87.9983 | 0 | 431
PACZ | Range_Small | 43 | 3851 | 46711875943386 | 0.0566641 | 87.9983 | 0 | 687
PACZ | Range_Small | 44 | 718 | 9895324073850 | 0.0123978 | 87.9983 | 0 | 253
PACZ | Range_Small | 45 | 115 | 1371912885771 | 0.0147025 | 87.9983 | 0 | 183
PACZ | Range_Small | 46 | 619 | 8978299907115 | 0.0156562 | 87.9983 | 0 | 271
PACZ | Range_Small | 47 | 2609 | 23559765726813 | 0.0393391 | 87.9983 | 0 | 523
PACZ | Range_Small | 48 | 2760 | 34744486735845 | 0.0516574 | 87.9983 | 0 | 555
PACZ | Range_Small | 49 | 124 | 1791798198894 | 0.00699361 | 87.9983 | 0 | 189
PACZ | Range_Small | 50 | 2665 | 27441810514428 | 0.0340144 | 87.9983 | 0 | 481
PACZ | Range_Small | 51 | 157 | 1719377766717 | 0.00699361 | 87.9983 | 0 | 181
PACZ | Range_Small | 52 | 3237 | 40468832953440 | 0.0654062 | 87.9983 | 0 | 673
PACZ | Range_Small | 53 | 218 | 2058516697236 | 0.00834465 | 87.9983 | 0 | 203
PACZ | Range_Small | 54 | 360 | 4063715728035 | 0.0139872 | 87.9983 | 0 | 221
