Algo | QType | QID | Count | Hash | Time_ms | Mem_Tree_MB | Mem_Delta_MB | Nodes
PACZ | Range_Small | 0 | 395 | 4940873268768 | 0.0179609 | 122.952 | 0 | 231
PACZ | Range_Small | 1 | 597 | 3967506660360 | 0.0153383 | 122.952 | 0 | 239
PACZ | Range_Small | 2 | 1279 | 15629395557423 | 0.0243187 | 122.952 | 0 | 375
PACZ | Range_Small | 3 | 717 | 11333835763782 | 0.0150204 | 122.952 | 0 | 289
PACZ | Range_Small | 4 | 12922 | 149862159782286 | 0.189702 | 122.952 | 0 | 1699
PACZ | Range_Small | 5 | 861 | 10316815372542 | 0.0193914 | 122.952 | 0 | 287
PACZ | Range_Small | 6 | 374 | 5057276057823 | 0.0109673 | 122.952 | 0 | 217
PACZ | Range_Small | 7 | 640 | 7388751926139 | 0.0106494 | 122.952 | 0 | 245
PACZ | Range_Small | 8 | 1361 | 14947583199174 | 0.0290076 | 122.952 | 0 | 431
PACZ | Range_Small | 9 | 1631 | 20621381738271 | 0.0236829 | 122.952 | 0 | 345
PACZ | Range_Small | 10 | 398 | 4293605685786 | 0.0116825 | 122.952 | 0 | 253
PACZ | Range_Small | 11 | 233 | 2551551712812 | 0.00905991 | 122.952 | 0 | 201
PACZ | Range_Small | 12 | 409 | 3152183442063 | 0.0223319 | 122.952 | 0 | 279
PACZ | Range_Small | 13 | 405 | 4761399532239 | 0.0163714 | 122.952 | 0 | 283
PACZ | Range_Small | 14 | 737 | 8761588624920 | 0.0197093 | 122.952 | 0 | 309
PACZ | Range_Small | 15 | 202 | 2725624365723 | 0.00667572 | 122.952 | 0 | 193
PACZ | Range_Small | 16 | 1428 | 20336394300612 | 0.0200272 | 122.952 | 0 | 353
PACZ | Range_Small | 17 | 16 | 160477511184 | 0.00532468 | 122.952 | 0 | 183
PACZ | Range_Small | 18 | 1067 | 13028595328323 | 0.0162919 | 122.952 | 0 | 307
PACZ | Range_Small | 19 | 121 | 1706888814951 | 0.00635783 | 122.952 | 0 | 155
PACZ | Range_Small | 20 | 1887 | 23592786312756 | 0.027736 | 122.952 | 0 | 447
PACZ | Range_Small | 21 | 539 | 6421793320908 | 0.0106494 | 122.952 | 0 | 209
PACZ | Range_Small | 22 | 4740 | 58116032154834 | 0.0610352 | 122.952 | 0 | 717
PACZ | Range_Small | 23 | 1 | 2564032053 | 0.00198682 | 122.952 | 0 | 91
PACZ | Range_Small | 24 | 2046 | 25229094395097 | 0.0316302 | 122.952 | 0 | 431
PACZ | Range_Small | 25 | 1119 | 15214545742497 | 0.0216961 | 122.952 | 0 | 285
PACZ | Range_Small | 26 | 1940 | 21290319674079 | 0.0243982 | 122.952 | 0 | 415
PACZ | Range_Small | 27 | 302 | 4163377425048 | 0.0166893 | 122.952 | 0 | 223
PACZ | Range_Small | 28 | 494 | 5403197068923 | 0.0143051 | 122.952 | 0 | 245
PACZ | Range_Small | 29 | 464 | 7265067032880 | 0.0100136 | 122.952 | 0 | 241
PACZ | Range_Small | 30 | 677 | 7042665489678 | 0.0133514 | 122.952 | 0 | 279
PACZ | Range_Small | 31 | 481 | 5958844888098 | 0.0107288 | 122.952 | 0 | 253
PACZ | Range_Small | 32 | 371 | 5551752250521 | 0.00866254 | 122.952 | 0 | 225
PACZ | Range_Small | 33 | 1148 | 16623747590178 | 0.0207424 | 122.952 | 0 | 319
PACZ | Range_Small | 34 | 438 | 5159669838288 | 0.0106494 | 122.952 | 0 | 259
PACZ | Range_Small | 35 | 581 | 6928129942476 | 0.0163714 | 122.952 | 0 | 255
PACZ | Range_Small | 36 | 159 | 2210249070990 | 0.00834465 | 122.952 | 0 | 203
PACZ | Range_Small | 37 | 3312 | 40859518154298 | 0.0500679 | 122.952 | 0 | 653
PACZ | Range_Small | 38 | 89 | 1204534427943 | 0.00762939 | 122.952 | 0 | 215
PACZ | Range_Small | 39 | 326 | 4494241839576 | 0.00635783 | 122.952 | 0 | 207
PACZ | Range_Small | 40 | 49 | 690838480701 | 0.00596046 | 122.952 | 0 | 201
PACZ | Range_Small | 41 | 814 | 12166524976272 | 0.0120004 | 122.952 | 0 | 261
PACZ | Range_Small | 42 | 1 | 1746149925 | 0.00802676 | 122.952 | 0 | 141
PACZ | Range_Small | 43 | 1 | 12813465126 | 0.000953674 | 122.952 | 0 | 37
PACZ | Range_Small | 44 | 10162 | 124099756662960 | 0.144641 | 122.952 | 0 | 1415
PACZ | Range_Small | 45 | 466 | 5394252784725 | 0.00993411 | 122.952 | 0 | 223
PACZ | Range_Small | 46 | 142 | 1765849988700 | 0.00739098 | 122.952 | 0 | 187
PACZ | Range_Small | 47 | 147 | 2165952216078 | 0.00929832 | 122.952 | 0 | 217
PACZ | Range_Small | 48 | 4197 | 57076190964519 | 0.0446637 | 122.952 | 0 | 605
PACZ | Range_Small | 49 | 1 | 14814368946 | 0.00166893 | 122.952 | 0 | 65
PACZ | Range_Small | 50 | 499 | 6784826710551 | 0.0110467 | 122.952 | 0 | 245
PACZ | Range_Small | 51 | 514 | 5723143602318 | 0.0103315 | 122.952 | 0 | 221
PACZ | Range_Small | 52 | 719 | 10289600264988 | 0.0229677 | 122.952 | 0 | 347
PACZ | Range_Small | 53 | 1557 | 18559738496718 | 0.0286102 | 122.952 | 0 | 391
PACZ | Range_Small | 54 | 1855 | 26397356382039 | 0.0273387 | 122.952 | 0 | 469
PACZ | Range_Small | 55 | 120 | 1148350492467 | 0.00532468 | 122.952 | 0 | 181
PACZ | Range_Small | 56 | 21 | 189263128728 | 0.00699361 | 122.952 | 0 | 97
PACZ | Range_Small | 57 | 1088 | 15049655154396 | 0.0226498 | 122.952 | 0 | 355
PACZ | Range_Small | 58 | 707 | 10130112513378 | 0.0130335 | 122.952 | 0 | 313
PACZ | Range_Small | 59 | 453 | 4485759470865 | 0.0147025 | 122.952 | 0 | 215
PACZ | Range_Small | 60 | 195 | 2022812214024 | 0.0163714 | 122.952 | 0 | 221
PACZ | Range_Small | 61 | 306 | 3868740210570 | 0.00770887 | 122.952 | 0 | 203
PACZ | Range_Small | 62 | 4202 | 52875664447521 | 0.0503063 | 122.952 | 0 | 695
PACZ | Range_Small | 63 | 2274 | 22373125849854 | 0.0399748 | 122.952 | 0 | 493
PACZ | Range_Small | 64 | 476 | 5925652157625 | 0.0129541 | 122.952 | 0 | 269
PACZ | Range_Small | 65 | 2045 | 24868309783803 | 0.045379 | 122.952 | 0 | 479
PACZ | Range_Small | 66 | 72 | 858939726060 | 0.00540415 | 122.952 | 0 | 177
PACZ | Range_Small | 67 | 574 | 7356641863815 | 0.0150204 | 122.952 | 0 | 251
