Algo | QType | QID | Count | Hash | Time_ms | Mem_Tree_MB | Mem_Delta_MB | Nodes
PACZ | Range_Small | 0 | 300 | 2921078877639 | 0.0170072 | 47.8005 | 0 | 241
PACZ | Range_Small | 1 | 1982 | 23925016105989 | 0.0273387 | 47.8005 | 0 | 463
PACZ | Range_Small | 2 | 1004 | 11966320785396 | 0.0140667 | 47.8005 | 0 | 287
PACZ | Range_Small | 3 | 1148 | 12063468961404 | 0.0246366 | 47.8005 | 0 | 393
PACZ | Range_Small | 4 | 58 | 522512389236 | 0.00532468 | 47.8005 | 0 | 169
PACZ | Range_Small | 5 | 1049 | 14914038384687 | 0.0243187 | 47.8005 | 0 | 327
PACZ | Range_Small | 6 | 30 | 318480208515 | 0.00532468 | 47.8005 | 0 | 181
PACZ | Range_Small | 7 | 465 | 5662183768173 | 0.00866254 | 47.8005 | 0 | 227
PACZ | Range_Small | 8 | 345 | 3424074050448 | 0.0120004 | 47.8005 | 0 | 309
PACZ | Range_Small | 9 | 1696 | 20295724986807 | 0.0267029 | 47.8005 | 0 | 389
PACZ | Range_Small | 10 | 1069 | 9708257634135 | 0.018994 | 47.8005 | 0 | 327
PACZ | Range_Small | 11 | 533 | 6630374274531 | 0.0112851 | 47.8005 | 0 | 241
PACZ | Range_Small | 12 | 721 | 7434509989578 | 0.0296434 | 47.8005 | 0 | 351
PACZ | Range_Small | 13 | 100 | 868897508841 | 0.0110467 | 47.8005 | 0 | 203
PACZ | Range_Small | 14 | 18857 | 223853185854246 | 0.228643 | 47.8005 | 0 | 1981
PACZ | Range_Small | 15 | 971 | 11924737117893 | 0.0200272 | 47.8005 | 0 | 287
PACZ | Range_Small | 16 | 4377 | 53936567365056 | 0.0680288 | 47.8005 | 0 | 761
PACZ | Range_Small | 17 | 934 | 13211825674620 | 0.0300407 | 47.8005 | 0 | 327
PACZ | Range_Small | 18 | 973 | 7885351104810 | 0.0196298 | 47.8005 | 0 | 325
PACZ | Range_Small | 19 | 2732 | 29283002987574 | 0.0446637 | 47.8005 | 0 | 557
PACZ | Range_Small | 20 | 282 | 3574544991465 | 0.022014 | 47.8005 | 0 | 281
PACZ | Range_Small | 21 | 402 | 4454574453732 | 0.0109673 | 47.8005 | 0 | 265
PACZ | Range_Small | 22 | 1391 | 14660571687690 | 0.0267029 | 47.8005 | 0 | 409
PACZ | Range_Small | 23 | 6044 | 76110946751985 | 0.0720024 | 47.8005 | 0 | 887
PACZ | Range_Small | 24 | 63 | 259529228106 | 0.0123978 | 47.8005 | 0 | 225
PACZ | Range_Small | 25 | 4026 | 49795050986652 | 0.0522931 | 47.8005 | 0 | 699
PACZ | Range_Small | 26 | 1654 | 20899757968221 | 0.0369549 | 47.8005 | 0 | 417
PACZ | Range_Small | 27 | 1 | 919340889 | 0.00230471 | 47.8005 | 0 | 113
PACZ | Range_Small | 28 | 549 | 5706045515217 | 0.0139872 | 47.8005 | 0 | 237
PACZ | Range_Small | 29 | 89 | 1061829395508 | 0.00699361 | 47.8005 | 0 | 227
PACZ | Range_Small | 30 | 1218 | 12161093517717 | 0.0193119 | 47.8005 | 0 | 369
PACZ | Range_Small | 31 | 1611 | 19181158746561 | 0.0226498 | 47.8005 | 0 | 341
PACZ | Range_Small | 32 | 4237 | 53568706872780 | 0.0510216 | 47.8005 | 0 | 587
PACZ | Range_Small | 33 | 2321 | 28379110814964 | 0.0305971 | 47.8005 | 0 | 449
PACZ | Range_Small | 34 | 284 | 3524387019303 | 0.00762939 | 47.8005 | 0 | 197
PACZ | Range_Small | 35 | 496 | 6816197824110 | 0.0123183 | 47.8005 | 0 | 259
PACZ | Range_Small | 36 | 303 | 4079318193837 | 0.0130335 | 47.8005 | 0 | 231
PACZ | Range_Small | 37 | 500 | 6652973822238 | 0.0120004 | 47.8005 | 0 | 239
PACZ | Range_Small | 38 | 1471 | 15292198009803 | 0.023365 | 47.8005 | 0 | 413
PACZ | Range_Small | 39 | 462 | 6339669128676 | 0.0107288 | 47.8005 | 0 | 241
PACZ | Range_Small | 40 | 2518 | 25840759797276 | 0.0443459 | 47.8005 | 0 | 517
PACZ | Range_Small | 41 | 1183 | 14127208594605 | 0.0193119 | 47.8005 | 0 | 303
PACZ | Range_Small | 42 | 2465 | 26399821818285 | 0.0282923 | 47.8005 | 0 | 505
PACZ | Range_Small | 43 | 336 | 3726165854277 | 0.0127157 | 47.8005 | 0 | 201
PACZ | Range_Small | 44 | 1339 | 16454887895751 | 0.0216166 | 47.8005 | 0 | 341
PACZ | Range_Small | 45 | 937 | 12626212679751 | 0.0120004 | 47.8005 | 0 | 257
PACZ | Range_Small | 46 | 21562 | 257264559850035 | 0.226657 | 47.8005 | 0 | 2233
PACZ | Range_Small | 47 | 446 | 6483404483775 | 0.0170072 | 47.8005 | 0 | 281
PACZ | Range_Small | 48 | 3053 | 38438953098111 | 0.0306765 | 47.8005 | 0 | 531
PACZ | Range_Small | 49 | 14138 | 175797989407227 | 0.164032 | 47.8005 | 0 | 1609
PACZ | Range_Small | 50 | 1899 | 23644946675562 | 0.0273387 | 47.8005 | 0 | 403
PACZ | Range_Small | 51 | 246 | 2567925314469 | 0.00699361 | 47.8005 | 0 | 197
PACZ | Range_Small | 52 | 1275 | 17718023376177 | 0.025034 | 47.8005 | 0 | 365
PACZ | Range_Small | 53 | 20673 | 246276601810305 | 0.209967 | 47.8005 | 0 | 2131
PACZ | Range_Small | 54 | 4617 | 58277691411081 | 0.0716845 | 47.8005 | 0 | 793
PACZ | Range_Small | 55 | 936 | 12661509227139 | 0.0143846 | 47.8005 | 0 | 279
PACZ | Range_Small | 56 | 1297 | 13356597768459 | 0.0226498 | 47.8005 | 0 | 361
PACZ | Range_Small | 57 | 2403 | 29086502674998 | 0.0293255 | 47.8005 | 0 | 499
PACZ | Range_Small | 58 | 492 | 6751641701067 | 0.0206629 | 47.8005 | 0 | 247
PACZ | Range_Small | 59 | 747 | 9073479408837 | 0.0120004 | 47.8005 | 0 | 311
PACZ | Range_Small | 60 | 1333 | 14924252878533 | 0.0246366 | 47.8005 | 0 | 373
PACZ | Range_Small | 61 | 774 | 9274829347416 | 0.022014 | 47.8005 | 0 | 303
PACZ | Range_Small | 62 | 4921 | 60357728139621 | 0.0700156 | 47.8005 | 0 | 807
PACZ | Range_Small | 63 | 2838 | 35421365444706 | 0.033617 | 47.8005 | 0 | 491
PACZ | Range_Small | 64 | 1685 | 20083530923067 | 0.0339349 | 47.8005 | 0 | 383
PACZ | Range_Small | 65 | 88 | 1218599871384 | 0.0126362 | 47.8005 | 0 | 247
PACZ | Range_Small | 66 | 1425 | 14748428408127 | 0.041008 | 47.8005 | 0 | 423
PACZ | Range_Small | 67 | 82 | 501495238785 | 0.00993411 | 47.8005 | 0 | 197
PACZ | Range_Small | 68 | 106 | 1322700725898 | 0.00866254 | 47.8005 | 0 | 153
PACZ | Range_Small | 69 | 164 | 1846381835433 | 0.0166893 | 47.8005 | 0 | 245
PACZ | Range_Small | 70 | 473 | 6566071946421 | 0.0106494 | 47.8005 | 0 | 251
PACZ | Range_Small | 71 | 594 | 8161389376701 | 0.0166098 | 47.8005 | 0 | 271
PACZ | Range_Small | 72 | 709 | 8765895685503 | 0.0133514 | 47.8005 | 0 | 277
PACZ | Range_Small | 73 | 512 | 4585979367153 | 0.0103315 | 47.8005 | 0 | 225
PACZ | Range_Small | 74 | 926 | 6810621127206 | 0.0149409 | 47.8005 | 0 | 309
PACZ | Range_Small | 75 | 663 | 9152113384170 | 0.0193119 | 47.8005 | 0 | 245
PACZ | Range_Small | 76 | 1278 | 17886795267240 | 0.026385 | 47.8005 | 0 | 333
PACZ | Range_Small | 77 | 730 | 9671786367525 | 0.0183582 | 47.8005 | 0 | 275
PACZ | Range_Small | 78 | 3119 | 38448998839212 | 0.0390212 | 47.8005 | 0 | 539
PACZ | Range_Small | 79 | 1017 | 12495073163847 | 0.0253518 | 47.8005 | 0 | 315
PACZ | Range_Small | 80 | 28 | 195560015352 | 0.0046889 | 47.8005 | 0 | 167
PACZ | Range_Small | 81 | 4493 | 40816426217220 | 0.0543594 | 47.8005 | 0 | 561
PACZ | Range_Small | 82 | 537 | 7381351907406 | 0.0139872 | 47.8005 | 0 | 225
PACZ | Range_Small | 83 | 18 | 79807854939 | 0.0046889 | 47.8005 | 0 | 167
PACZ | Range_Small | 84 | 20604 | 245741088656571 | 0.203609 | 47.8005 | 0 | 2035
PACZ | Range_Small | 85 | 938 | 12435688354314 | 0.0199477 | 47.8005 | 0 | 311
PACZ | Range_Small | 86 | 1231 | 16983901134066 | 0.0183582 | 47.8005 | 0 | 339
PACZ | Range_Small | 87 | 1935 | 27524841386571 | 0.0350475 | 47.8005 | 0 | 439
PACZ | Range_Small | 88 | 1054 | 11035719149256 | 0.017643 | 47.8005 | 0 | 351
PACZ | Range_Small | 89 | 1437 | 17850445902981 | 0.023365 | 47.8005 | 0 | 359
PACZ | Range_Small | 90 | 4454 | 40736283521001 | 0.0513395 | 47.8005 | 0 | 579
PACZ | Range_Small | 91 | 507 | 5714734199703 | 0.0147025 | 47.8005 | 0 | 245
PACZ | Range_Small | 92 | 830 | 10229136679998 | 0.0130335 | 47.8005 | 0 | 287
PACZ | Range_Small | 93 | 4180 | 51382707566640 | 0.0639757 | 47.8005 | 0 | 695
PACZ | Range_Small | 94 | 673 | 8070928435581 | 0.0129541 | 47.8005 | 0 | 281
PACZ | Range_Small | 95 | 59 | 774073829427 | 0.00532468 | 47.8005 | 0 | 157
PACZ | Range_Small | 96 | 144 | 1939736825643 | 0.0112851 | 47.8005 | 0 | 201
PACZ | Range_Small | 97 | 1519 | 21382679431074 | 0.0203451 | 47.8005 | 0 | 359
PACZ | Range_Small | 98 | 80 | 1200416912361 | 0.00532468 | 47.8005 | 0 | 165
PACZ | Range_Small | 99 | 355 | 5179000735656 | 0.00929832 | 47.8005 | 0 | 235
PACZ | Range_Medium | 0 | 21925 | 240042541083021 | 0.199715 | 47.8005 | 0 | 2199
PACZ | Range_Medium | 1 | 3415 | 42035171746803 | 0.0326633 | 47.8005 | 0 | 491
PACZ | Range_Medium | 2 | 9514 | 112412812132608 | 0.0896454 | 47.8005 | 0 | 959
PACZ | Range_Medium | 3 | 27878 | 331665895080426 | 0.270605 | 47.8005 | 0 | 2775
PACZ | Range_Medium | 4 | 34387 | 413699886893829 | 0.327269 | 47.8005 | 0 | 3339
PACZ | Range_Medium | 5 | 114968 | 1363833592946742 | 1.26537 | 47.8005 | 0 | 9447
PACZ | Range_Medium | 6 | 15794 | 178856006231874 | 0.130971 | 47.8005 | 0 | 1691
PACZ | Range_Medium | 7 | 3572 | 45887663792277 | 0.0343323 | 47.8005 | 0 | 521
PACZ | Range_Medium | 8 | 20758 | 251375453065821 | 0.169357 | 47.8005 | 0 | 2067
PACZ | Range_Medium | 9 | 13528 | 169874386937946 | 0.113328 | 47.8005 | 0 | 1413
PACZ | Range_Medium | 10 | 90371 | 1078766408847111 | 0.841061 | 47.8005 | 0 | 7583
PACZ | Range_Medium | 11 | 56640 | 674000799758208 | 0.584682 | 47.8005 | 0 | 4865
PACZ | Range_Medium | 12 | 16589 | 212678213401974 | 0.137329 | 47.8005 | 0 | 1649
PACZ | Range_Medium | 13 | 42352 | 594146913925344 | 0.381311 | 47.8005 | 0 | 3777
PACZ | Range_Medium | 14 | 32925 | 399870963066207 | 0.274976 | 47.8005 | 0 | 3049
PACZ | Range_Medium | 15 | 45005 | 545131470260529 | 0.404994 | 47.8005 | 0 | 4083
PACZ | Range_Medium | 16 | 13215 | 159883731905517 | 0.111659 | 47.8005 | 0 | 1287
PACZ | Range_Medium | 17 | 125505 | 1478533300780200 | 1.22062 | 47.8005 | 0 | 10249
PACZ | Range_Medium | 18 | 26600 | 305706872429355 | 0.247637 | 47.8005 | 0 | 2631
PACZ | Range_Medium | 19 | 4323 | 58598859109788 | 0.0473658 | 47.8005 | 0 | 651
PACZ | Range_Medium | 20 | 53621 | 642839998032732 | 0.518004 | 47.8005 | 0 | 4577
PACZ | Range_Medium | 21 | 28902 | 341135694566778 | 0.281334 | 47.8005 | 0 | 2821
PACZ | Range_Medium | 22 | 7764 | 88616011333827 | 0.085036 | 47.8005 | 0 | 999
PACZ | Range_Medium | 23 | 16247 | 208876073527086 | 0.166734 | 47.8005 | 0 | 1779
PACZ | Range_Medium | 24 | 8574 | 84621458000694 | 0.102679 | 47.8005 | 0 | 1235
PACZ | Range_Medium | 25 | 49776 | 596330339908812 | 0.505686 | 47.8005 | 0 | 4327
PACZ | Range_Medium | 26 | 6658 | 54732304472637 | 0.0653267 | 47.8005 | 0 | 787
PACZ | Range_Medium | 27 | 82366 | 958096798622829 | 0.856638 | 47.8005 | 0 | 7061
PACZ | Range_Medium | 28 | 76284 | 872921546677731 | 0.855684 | 47.8005 | 0 | 6797
PACZ | Range_Medium | 29 | 38148 | 393437708492097 | 0.379642 | 47.8005 | 0 | 3551
PACZ | Range_Medium | 30 | 53510 | 545076295964490 | 0.555674 | 47.8005 | 0 | 4969
PACZ | Range_Medium | 31 | 9374 | 103058431387860 | 0.0920296 | 47.8005 | 0 | 1037
PACZ | Range_Medium | 32 | 35190 | 416363953979070 | 0.347058 | 47.8005 | 0 | 3347
PACZ | Range_Medium | 33 | 112297 | 1330313919122343 | 1.21268 | 47.8005 | 0 | 9287
PACZ | Range_Medium | 34 | 114964 | 1366123291192482 | 1.23938 | 47.8005 | 0 | 9395
PACZ | Range_Medium | 35 | 25114 | 287797269236133 | 0.242313 | 47.8005 | 0 | 2397
PACZ | Range_Medium | 36 | 115155 | 1368894878336154 | 1.29334 | 47.8005 | 0 | 9407
PACZ | Range_Medium | 37 | 51951 | 714924115137567 | 0.547965 | 47.8005 | 0 | 4513
PACZ | Range_Medium | 38 | 51426 | 537792293276355 | 0.541051 | 47.8005 | 0 | 4513
PACZ | Range_Medium | 39 | 77608 | 887069274883917 | 0.872691 | 47.8005 | 0 | 6835
PACZ | Range_Medium | 40 | 22350 | 253839401408673 | 0.2443 | 47.8005 | 0 | 2285
PACZ | Range_Medium | 41 | 65058 | 697975654649694 | 0.698964 | 47.8005 | 0 | 5757
PACZ | Range_Medium | 42 | 114264 | 1346374331596284 | 1.30566 | 47.8005 | 0 | 9523
PACZ | Range_Medium | 43 | 60717 | 713813911546194 | 0.670036 | 47.8005 | 0 | 5261
