Algo | QType | QID | Count | Hash | Time_ms | Mem_Tree_MB | Mem_Delta_MB | Nodes
PACZ | Range_Small | 0 | 1696 | 20909674973613 | 0.0340144 | 92.5538 | 0 | 417
PACZ | Range_Small | 1 | 1262 | 15616866191547 | 0.0236034 | 92.5538 | 0 | 335
PACZ | Range_Small | 2 | 4119 | 56230809177159 | 0.0452995 | 92.5538 | 0 | 599
PACZ | Range_Small | 3 | 2272 | 28540866200643 | 0.0302792 | 92.5538 | 0 | 487
PACZ | Range_Small | 4 | 695 | 7739787972348 | 0.015974 | 92.5538 | 0 | 273
PACZ | Range_Small | 5 | 621 | 8291335729239 | 0.0150204 | 92.5538 | 0 | 303
PACZ | Range_Small | 6 | 630 | 6835434070851 | 0.0120004 | 92.5538 | 0 | 259
PACZ | Range_Small | 7 | 1566 | 21991032930231 | 0.0249545 | 92.5538 | 0 | 433
PACZ | Range_Small | 8 | 2319 | 28465601215233 | 0.0310739 | 92.5538 | 0 | 497
PACZ | Range_Small | 9 | 15 | 220468085880 | 0.0046889 | 92.5538 | 0 | 155
PACZ | Range_Small | 10 | 3016 | 37856178106509 | 0.0429948 | 92.5538 | 0 | 653
PACZ | Range_Small | 11 | 3572 | 43758964985730 | 0.0376701 | 92.5538 | 0 | 557
PACZ | Range_Small | 12 | 4053 | 49127563157037 | 0.0437101 | 92.5538 | 0 | 713
PACZ | Range_Small | 13 | 6632 | 81540697322949 | 0.0830491 | 92.5538 | 0 | 971
PACZ | Range_Small | 14 | 86 | 490281076875 | 0.00667572 | 92.5538 | 0 | 199
PACZ | Range_Small | 15 | 534 | 7328920174044 | 0.0127157 | 92.5538 | 0 | 211
PACZ | Range_Small | 16 | 4389 | 39722855152326 | 0.0429948 | 92.5538 | 0 | 583
PACZ | Range_Small | 17 | 2921 | 34739944816713 | 0.0333786 | 92.5538 | 0 | 491
PACZ | Range_Small | 18 | 3472 | 43324246743237 | 0.0543594 | 92.5538 | 0 | 651
PACZ | Range_Small | 19 | 1916 | 30418348653492 | 0.0293255 | 92.5538 | 0 | 401
PACZ | Range_Small | 20 | 770 | 10054875941049 | 0.0149409 | 92.5538 | 0 | 301
PACZ | Range_Small | 21 | 490 | 5789120235558 | 0.0100136 | 92.5538 | 0 | 203
PACZ | Range_Small | 22 | 288 | 3150902542017 | 0.0073115 | 92.5538 | 0 | 185
PACZ | Range_Small | 23 | 1344 | 8688182014644 | 0.0206629 | 92.5538 | 0 | 339
PACZ | Range_Small | 24 | 450 | 6318399517470 | 0.0150204 | 92.5538 | 0 | 331
PACZ | Range_Small | 25 | 579 | 5188033083228 | 0.0206629 | 92.5538 | 0 | 351
PACZ | Range_Small | 26 | 66 | 903029921940 | 0.00532468 | 92.5538 | 0 | 157
PACZ | Range_Small | 27 | 501 | 5886822169041 | 0.0123183 | 92.5538 | 0 | 283
PACZ | Range_Small | 28 | 218 | 3185986106280 | 0.0120004 | 92.5538 | 0 | 199
PACZ | Range_Small | 29 | 214 | 2277600065646 | 0.00866254 | 92.5538 | 0 | 223
PACZ | Range_Small | 30 | 219 | 2916651811761 | 0.00699361 | 92.5538 | 0 | 199
PACZ | Range_Small | 31 | 100 | 1253823272241 | 0.00667572 | 92.5538 | 0 | 197
PACZ | Range_Small | 32 | 226 | 3138616495149 | 0.0106494 | 92.5538 | 0 | 175
PACZ | Range_Small | 33 | 1322 | 18573400403085 | 0.022014 | 92.5538 | 0 | 377
PACZ | Range_Small | 34 | 232 | 2740263849849 | 0.00564257 | 92.5538 | 0 | 181
PACZ | Range_Small | 35 | 2318 | 28102941752175 | 0.0336965 | 92.5538 | 0 | 485
PACZ | Range_Small | 36 | 4213 | 50444619643458 | 0.0623067 | 92.5538 | 0 | 673
PACZ | Range_Small | 37 | 369 | 4628290860405 | 0.00929832 | 92.5538 | 0 | 233
PACZ | Range_Small | 38 | 699 | 7318296225426 | 0.0163714 | 92.5538 | 0 | 253
PACZ | Range_Small | 39 | 250 | 2670444998598 | 0.0100136 | 92.5538 | 0 | 155
PACZ | Range_Small | 40 | 31 | 219741846750 | 0.00500679 | 92.5538 | 0 | 159
PACZ | Range_Small | 41 | 1579 | 16324127548587 | 0.0303586 | 92.5538 | 0 | 397
PACZ | Range_Small | 42 | 1128 | 11568530366448 | 0.0240008 | 92.5538 | 0 | 353
PACZ | Range_Small | 43 | 1206 | 16449541800771 | 0.0236829 | 92.5538 | 0 | 309
PACZ | Range_Small | 44 | 1312 | 13577352499251 | 0.0223319 | 92.5538 | 0 | 381
PACZ | Range_Small | 45 | 1568 | 18371755127118 | 0.0270208 | 92.5538 | 0 | 399
PACZ | Range_Small | 46 | 610 | 7696557233661 | 0.0143846 | 92.5538 | 0 | 249
PACZ | Range_Small | 47 | 3231 | 40641087010869 | 0.0536442 | 92.5538 | 0 | 577
PACZ | Range_Small | 48 | 1718 | 27276481854837 | 0.0259876 | 92.5538 | 0 | 395
PACZ | Range_Small | 49 | 2161 | 22260901405179 | 0.0326633 | 92.5538 | 0 | 421
PACZ | Range_Small | 50 | 1056 | 12495970364295 | 0.0240008 | 92.5538 | 0 | 309
PACZ | Range_Small | 51 | 262 | 3644434608198 | 0.0116825 | 92.5538 | 0 | 189
PACZ | Range_Small | 52 | 106 | 727651180599 | 0.00699361 | 92.5538 | 0 | 195
PACZ | Range_Small | 53 | 53 | 402231025716 | 0.00500679 | 92.5538 | 0 | 181
