Algo | QType | QID | Count | Hash | Time_ms | Mem_Tree_MB | Mem_Delta_MB | Nodes
PACZ | Range_Small | 0 | 1864 | 22203391722228 | 0.0466506 | 101.203 | 0 | 367
PACZ | Range_Small | 1 | 1096 | 11468600997090 | 0.0313123 | 101.203 | 0 | 393
PACZ | Range_Small | 2 | 1313 | 20843362650216 | 0.0426769 | 101.203 | 0 | 419
PACZ | Range_Small | 3 | 462 | 5819381000340 | 0.0112851 | 101.203 | 0 | 267
PACZ | Range_Small | 4 | 1056 | 12441336808797 | 0.0255903 | 101.203 | 0 | 323
PACZ | Range_Small | 5 | 610 | 8453737974045 | 0.00961622 | 101.203 | 0 | 217
PACZ | Range_Small | 6 | 2203 | 31033400940537 | 0.0343323 | 101.203 | 0 | 435
PACZ | Range_Small | 7 | 802 | 6670687921425 | 0.0139872 | 101.203 | 0 | 295
PACZ | Range_Small | 8 | 287 | 4354506918141 | 0.0103315 | 101.203 | 0 | 167
PACZ | Range_Small | 9 | 1662 | 19803297446352 | 0.0299613 | 101.203 | 0 | 367
PACZ | Range_Small | 10 | 929 | 8713698738411 | 0.0197093 | 101.203 | 0 | 327
PACZ | Range_Small | 11 | 3159 | 38023180422396 | 0.0343323 | 101.203 | 0 | 457
PACZ | Range_Small | 12 | 696 | 7589534481828 | 0.0136693 | 101.203 | 0 | 277
PACZ | Range_Small | 13 | 1126 | 13353223915374 | 0.0223319 | 101.203 | 0 | 307
PACZ | Range_Small | 14 | 728 | 4337719577151 | 0.0147025 | 101.203 | 0 | 281
PACZ | Range_Small | 15 | 111 | 600144529611 | 0.0103315 | 101.203 | 0 | 177
PACZ | Range_Small | 16 | 6468 | 73308312063654 | 0.104984 | 101.203 | 0 | 1025
PACZ | Range_Small | 17 | 1296 | 18794491358160 | 0.0203451 | 101.203 | 0 | 375
PACZ | Range_Small | 18 | 423 | 1922229007629 | 0.0103315 | 101.203 | 0 | 223
PACZ | Range_Small | 19 | 2105 | 25640400039861 | 0.0276566 | 101.203 | 0 | 433
PACZ | Range_Small | 20 | 19512 | 231931832336352 | 0.221332 | 101.203 | 0 | 2235
PACZ | Range_Small | 21 | 983 | 12149496317592 | 0.0182788 | 101.203 | 0 | 327
PACZ | Range_Small | 22 | 893 | 13120703717463 | 0.0193119 | 101.203 | 0 | 365
PACZ | Range_Small | 23 | 17371 | 204920834488251 | 0.148694 | 101.203 | 0 | 1943
PACZ | Range_Small | 24 | 828 | 11429252003553 | 0.0177224 | 101.203 | 0 | 243
PACZ | Range_Small | 25 | 1806 | 18817719808542 | 0.0326633 | 101.203 | 0 | 445
PACZ | Range_Small | 26 | 2040 | 21632147519028 | 0.0343323 | 101.203 | 0 | 481
PACZ | Range_Small | 27 | 14551 | 178613246362905 | 0.182629 | 101.203 | 0 | 1797
PACZ | Range_Small | 28 | 4120 | 37570532148534 | 0.0419617 | 101.203 | 0 | 575
PACZ | Range_Small | 29 | 16024 | 195621223651575 | 0.178337 | 101.203 | 0 | 1945
PACZ | Range_Small | 30 | 17357 | 211078077485016 | 0.17333 | 101.203 | 0 | 2079
PACZ | Range_Small | 31 | 574 | 5673510232233 | 0.0139872 | 101.203 | 0 | 297
PACZ | Range_Small | 32 | 292 | 3587552413728 | 0.0166893 | 101.203 | 0 | 273
PACZ | Range_Small | 33 | 1775 | 18356813466726 | 0.036637 | 101.203 | 0 | 443
PACZ | Range_Small | 34 | 999 | 12020561508072 | 0.0256697 | 101.203 | 0 | 299
PACZ | Range_Small | 35 | 536 | 6964697633043 | 0.0127157 | 101.203 | 0 | 255
PACZ | Range_Small | 36 | 79 | 942435087957 | 0.00866254 | 101.203 | 0 | 157
PACZ | Range_Small | 37 | 770 | 10022612707698 | 0.0110467 | 101.203 | 0 | 241
PACZ | Range_Small | 38 | 4082 | 54773727219267 | 0.0639757 | 101.203 | 0 | 543
PACZ | Range_Small | 39 | 1976 | 22426677994536 | 0.0356038 | 101.203 | 0 | 489
PACZ | Range_Small | 40 | 654 | 8383941711390 | 0.015974 | 101.203 | 0 | 237
PACZ | Range_Small | 41 | 1529 | 21525644514495 | 0.0293255 | 101.203 | 0 | 409
PACZ | Range_Small | 42 | 4614 | 58210878988707 | 0.0753403 | 101.203 | 0 | 717
PACZ | Range_Small | 43 | 8536 | 106046622852207 | 0.123342 | 101.203 | 0 | 1177
PACZ | Range_Small | 44 | 1 | 4051358616 | 0.00532468 | 101.203 | 0 | 181
PACZ | Range_Small | 45 | 2387 | 21805991262639 | 0.0333786 | 101.203 | 0 | 465
PACZ | Range_Small | 46 | 433 | 4746634371228 | 0.00898043 | 101.203 | 0 | 215
PACZ | Range_Small | 47 | 748 | 10236588638100 | 0.0166893 | 101.203 | 0 | 227
PACZ | Range_Small | 48 | 2055 | 21953638039668 | 0.0383854 | 101.203 | 0 | 463
PACZ | Range_Small | 49 | 1980 | 21306777036381 | 0.0267029 | 101.203 | 0 | 421
PACZ | Range_Small | 50 | 241 | 2932157504967 | 0.00532468 | 101.203 | 0 | 161
