Algo | QType | QID | Count | Hash | Time_ms | Mem_Tree_MB | Mem_Delta_MB | Nodes
PACZ | Range_Small | 0 | 244 | 3383741532858 | 0.00739098 | 130.432 | 0 | 157
PACZ | Range_Small | 1 | 1194 | 14271991079397 | 0.0216961 | 130.432 | 0 | 281
PACZ | Range_Small | 2 | 1803 | 17864976092796 | 0.0300407 | 130.432 | 0 | 453
PACZ | Range_Small | 3 | 202 | 2569709309754 | 0.00500679 | 130.432 | 0 | 161
PACZ | Range_Small | 4 | 188 | 2026695091353 | 0.00794729 | 130.432 | 0 | 221
PACZ | Range_Small | 5 | 944 | 11598667468533 | 0.0332991 | 130.432 | 0 | 349
PACZ | Range_Small | 6 | 87 | 1271571536556 | 0.00707308 | 130.432 | 0 | 187
PACZ | Range_Small | 7 | 518 | 7243798506519 | 0.00866254 | 130.432 | 0 | 203
PACZ | Range_Small | 8 | 790 | 11042534384382 | 0.0106494 | 130.432 | 0 | 239
PACZ | Range_Small | 9 | 3750 | 34742786071398 | 0.0537237 | 130.432 | 0 | 547
PACZ | Range_Small | 10 | 4514 | 55388931201468 | 0.0580152 | 130.432 | 0 | 697
PACZ | Range_Small | 11 | 239 | 3243414060636 | 0.0136693 | 130.432 | 0 | 207
PACZ | Range_Small | 12 | 627 | 6254759898348 | 0.0183582 | 130.432 | 0 | 271
PACZ | Range_Small | 13 | 317 | 3902022117177 | 0.0103315 | 130.432 | 0 | 249
PACZ | Range_Small | 14 | 385 | 4460001442941 | 0.0130335 | 130.432 | 0 | 211
PACZ | Range_Small | 15 | 63 | 605075119767 | 0.00603994 | 130.432 | 0 | 151
PACZ | Range_Small | 16 | 399 | 4942210466880 | 0.0156562 | 130.432 | 0 | 195
PACZ | Range_Small | 17 | 3757 | 45755312179056 | 0.056982 | 130.432 | 0 | 673
PACZ | Range_Small | 18 | 1651 | 17312012103930 | 0.033617 | 130.432 | 0 | 335
PACZ | Range_Small | 19 | 892 | 10175976847149 | 0.0269413 | 130.432 | 0 | 371
PACZ | Range_Small | 20 | 2413 | 29436129284085 | 0.0389417 | 130.432 | 0 | 519
PACZ | Range_Small | 21 | 259 | 3153774212496 | 0.0073115 | 130.432 | 0 | 195
PACZ | Range_Small | 22 | 1249 | 12892290353025 | 0.0249545 | 130.432 | 0 | 389
PACZ | Range_Small | 23 | 614 | 7656049633992 | 0.0185966 | 130.432 | 0 | 295
PACZ | Range_Small | 24 | 1 | 6910052823 | 0.00127157 | 130.432 | 0 | 37
PACZ | Range_Small | 25 | 1731 | 20728210892454 | 0.0290076 | 130.432 | 0 | 321
PACZ | Range_Small | 26 | 1311 | 15621950329833 | 0.0259876 | 130.432 | 0 | 375
PACZ | Range_Small | 27 | 4879 | 62631893465406 | 0.0736713 | 130.432 | 0 | 705
PACZ | Range_Small | 28 | 3452 | 43446062049891 | 0.052611 | 130.432 | 0 | 659
PACZ | Range_Small | 29 | 835 | 9141205063992 | 0.0206629 | 130.432 | 0 | 341
PACZ | Range_Small | 30 | 375 | 4632933573363 | 0.0093778 | 130.432 | 0 | 227
