Distribution,Size,Algorithm,Threads,Batch_Size,Batch-insert_Time_Seconds,Memory_MB
uniform,1M,mvq,1,0.01,1.182432,942.228
uniform,1M,mvq,1,0.500000,0.283027,203.346603
uniform,1M,mvq,1,1.000000,0.241089,146.210861
uniform,1M,pacz,1,0.01,2.196542,3865.74
uniform,1M,pacz,1,0.500000,0.270717,236.246506
uniform,1M,pacz,1,1.000000,0.227696,155.960442
uniform,1M,boost,1,0.01,1.26384,N/A
uniform,1M,boost,1,0.5,1.2522,124.644
uniform,1M,boost,1,1,1.25558,124.644
uniform,1M,rlog,1,0.01,0.0322777,N/A
uniform,1M,rlog,1,0.5,0.0356237,41.1015
uniform,1M,rlog,1,1,0.028188,41.1015
uniform,1M,pkdtree,1,0.01,0.68245,N/A
uniform,1M,pkdtree,1,0.5,0.357423,N/A
uniform,1M,pkdtree,1,1,0.348031,N/A
uniform,1M,pkdlog,1,0.01,0.026373,N/A
uniform,1M,pkdlog,1,0.5,0.029626,N/A
uniform,1M,pkdlog,1,1,0.027784,N/A
uniform,10M,mvq,1,0.01,14.442799,9346.55
uniform,10M,mvq,1,0.500000,3.150300,2041.171112
uniform,10M,mvq,1,1.000000,2.676568,1465.703140
