Distribution,Size,Algorithm,Threads,Batch_Size,Batch-insert_Time_Seconds,Memory_MB
uniform,1M,mvq,1,0.01,1.208855,942.228
uniform,1M,mvq,1,0.500000,0.281514,203.346603
uniform,1M,mvq,1,1.000000,0.237609,146.210861
uniform,1M,pacz,1,0.01,2.203438,3865.74
uniform,1M,pacz,1,0.500000,0.269666,236.246506
uniform,1M,pacz,1,1.000000,0.227185,155.960442
uniform,1M,boost,1,0.01,1.30781,124.644
uniform,1M,boost,1,0.5,1.25062,124.644
uniform,1M,boost,1,1,1.262,124.644
uniform,1M,rlog,1,0.01,0.03281,41.1015
uniform,1M,rlog,1,0.5,0.0354067,41.1015
uniform,1M,rlog,1,1,0.0288737,41.1015
uniform,1M,pkdtree,1,0.01,0.694864,N/A
uniform,1M,pkdtree,1,0.5,0.355424,N/A
uniform,1M,pkdtree,1,1,0.360158,N/A
uniform,1M,pkdlog,1,0.01,0.0266673,N/A
uniform,1M,pkdlog,1,0.5,0.0299663,N/A
uniform,1M,pkdlog,1,1,0.0296817,N/A
