Distribution,Size,Algorithm,Threads,Batch_Size,Batch-insert_Time_Seconds,Memory_MB
uniform,1M,mvq,1,0.01,1.181714,942.228
uniform,1M,mvq,1,0.500000,0.280598,203.346603
uniform,1M,mvq,1,1.000000,0.237162,146.210861
uniform,1M,pacz,1,0.01,2.225948,3865.74
uniform,1M,pacz,1,0.500000,0.274414,236.246506
uniform,1M,pacz,1,1.000000,0.231114,155.960442
uniform,1M,boost,1,0.01,1.26429,124.644
uniform,1M,boost,1,0.5,1.25598,124.644
uniform,1M,boost,1,1,1.26601,124.644
uniform,1M,rlog,1,0.01,0.0323397,41.1015
uniform,1M,rlog,1,0.5,0.035753,41.1015
uniform,1M,rlog,1,1,0.0285993,41.1015
uniform,1M,pkdtree,1,0.01,0.677867,73.9311
uniform,1M,pkdtree,1,0.5,0.352808,73.4153
uniform,1M,pkdtree,1,1,0.344499,72.7281
uniform,1M,pkdlog,1,0.01,0.027645,60.9099
uniform,1M,pkdlog,1,0.5,0.030163,60.9099
uniform,1M,pkdlog,1,1,0.0287127,60.9099
